,Time,Receiving team,Score,Guest team,Week,Date
0,19:15,Youssoufia Berrechid,0 : 1,Raja Club Athletic,Week # 1,Friday 10 September 2021
1,21:32,Olympique Club de Safi,0 : 1,Difaa Hassani El Jadidi,Week # 1,Friday 10 September 2021
2,17:02,Olympique Club De Khouribga,0 : 0,Mouloudia Oujda,Week # 1,Saturday 11 September 2021
3,19:16,Chabab Mohammedia,2 : 0,Fath Union Sport de Rabat,Week # 1,Saturday 11 September 2021
4,21:31,Hassania Union Sport Agadir,1 : 0,Rapide Oued Zem,Week # 1,Saturday 11 September 2021
5,17:04,Wydad Athletic Club,2 : 0,Ittihad Tanger,Week # 1,Sunday 12 September 2021
6,21:32,Maghreb de Fes,0 : 0,Renaissance de Berkane,Week # 1,Sunday 12 September 2021
7,17:03,FAR Rabat,0 : 3,JSS Jeunesse Sportive Soualem,Week # 1,Wednesday 15 September 2021
8,21:31,Fath Union Sport de Rabat,1 : 1,Youssoufia Berrechid,Week # 2,Friday 17 September 2021
9,17:02,Difaa Hassani El Jadidi,2 : 1,Hassania Union Sport Agadir,Week # 2,Saturday 18 September 2021
10,19:17,Ittihad Tanger,1 : 1,Chabab Mohammedia,Week # 2,Saturday 18 September 2021
11,21:32,JSS Jeunesse Sportive Soualem,3 : 0,Maghreb de Fes,Week # 2,Saturday 18 September 2021
12,17:02,Raja Club Athletic,2 : 1,Olympique Club De Khouribga,Week # 2,Sunday 19 September 2021
13,19:13,Renaissance de Berkane,1 : 1,Olympique Club de Safi,Week # 2,Sunday 19 September 2021
14,21:32,Rapide Oued Zem,0 : 2,Wydad Athletic Club,Week # 2,Sunday 19 September 2021
15,21:32,Mouloudia Oujda,0 : 2,FAR Rabat,Week # 2,Wednesday 22 September 2021
16,17:01,Olympique Club De Khouribga,1 : 0,Ittihad Tanger,Week # 3,Friday 24 September 2021
17,19:16,Maghreb de Fes,1 : 1,Fath Union Sport de Rabat,Week # 3,Friday 24 September 2021
18,21:33,Raja Club Athletic,3 : 0,JSS Jeunesse Sportive Soualem,Week # 3,Friday 24 September 2021
