,Time,Receiving team,Score,Guest team,Week,Date
0,17:36,Moghreb Tetouan,0 : 2,Chabab Mohammedia,Week # 1,Friday 4 December 2020
1,19:30,Maghreb de Fes,2 : 1,FAR Rabat,Week # 1,Friday 4 December 2020
2,15:32,Renaissance Zemamra,0 : 2,Renaissance de Berkane,Week # 1,Saturday 5 December 2020
3,17:34,Rapide Oued Zem,1 : 1,Mouloudia Oujda,Week # 1,Saturday 5 December 2020
4,19:32,Olympique Club de Safi,4 : 3,Difaa Hassani El Jadidi,Week # 1,Saturday 5 December 2020
5,15:36,Hassania Union Sport Agadir,0 : 1,Ittihad Tanger,Week # 1,Sunday 6 December 2020
6,17:30,Wydad Athletic Club,2 : 0,Youssoufia Berrechid,Week # 1,Sunday 6 December 2020
7,19:30,Fath Union Sport de Rabat,3 : 3,Raja Club Athletic,Week # 1,Sunday 6 December 2020
8,15:32,Renaissance de Berkane,1 : 1,Maghreb de Fes,Week # 2,Tuesday 8 December 2020
9,17:32,FAR Rabat,2 : 3,Moghreb Tetouan,Week # 2,Tuesday 8 December 2020
10,19:31,Chabab Mohammedia,1 : 0,Renaissance Zemamra,Week # 2,Tuesday 8 December 2020
11,15:29,Difaa Hassani El Jadidi,0 : 1,Wydad Athletic Club,Week # 2,Wednesday 9 December 2020
12,17:31,Youssoufia Berrechid,0 : 0,Hassania Union Sport Agadir,Week # 2,Wednesday 9 December 2020
13,19:33,Ittihad Tanger,1 : 0,Olympique Club de Safi,Week # 2,Wednesday 9 December 2020
14,17:33,Mouloudia Oujda,0 : 1,Fath Union Sport de Rabat,Week # 2,Thursday 10 December 2020
15,19:30,Raja Club Athletic,3 : 2,Rapide Oued Zem,Week # 2,Thursday 10 December 2020
16,19:30,Renaissance Zemamra,0 : 2,FAR Rabat,Week # 3,Friday 11 December 2020
17,15:32,Maghreb de Fes,1 : 1,Youssoufia Berrechid,Week # 3,Saturday 12 December 2020
18,17:30,Olympique Club de Safi,2 : 1,Wydad Athletic Club,Week # 3,Saturday 12 December 2020
19,19:33,Hassania Union Sport Agadir,0 : 0,Chabab Mohammedia,Week # 3,Saturday 12 December 2020
20,15:35,Rapide Oued Zem,1 : 3,Renaissance de Berkane,Week # 3,Sunday 13 December 2020
21,17:33,Moghreb Tetouan,2 : 2,Difaa Hassani El Jadidi,Week # 3,Sunday 13 December 2020
22,19:30,Raja Club Athletic,3 : 0,Mouloudia Oujda,Week # 3,Sunday 13 December 2020
23,19:30,Fath Union Sport de Rabat,0 : 1,Ittihad Tanger,Week # 3,Sunday 13 December 2020
24,15:30,Youssoufia Berrechid,0 : 0,Olympique Club de Safi,Week # 4,Saturday 19 December 2020
25,17:31,Wydad Athletic Club,3 : 0,Hassania Union Sport Agadir,Week # 4,Saturday 19 December 2020
26,19:30,Chabab Mohammedia,0 : 0,Rapide Oued Zem,Week # 4,Saturday 19 December 2020
27,19:30,Renaissance de Berkane,0 : 1,Raja Club Athletic,Week # 4,Saturday 19 December 2020
28,15:34,FAR Rabat,0 : 0,Fath Union Sport de Rabat,Week # 4,Sunday 20 December 2020
